Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4632,2136,70150.15,2136,196,392,701,329,46,622,1514,0,1979,1350,629
6508,2649,114529.12,2649,1483,552,97,105,39,2149,500,0,2446,1910,536
2905,1219,40301.45,1219,386,383,163,125,16,958,230,31,1191,813,378
3386,1757,47840.84,1757,972,273,123,212,65,48,1695,14,1648,602,1046
6484,2044,66577.48,2044,23,230,969,740,51,844,1200,0,1923,1511,412
4445,2025,54965.19,2025,81,876,624,316,31,502,1523,0,1925,1217,708
1704,707,51719.86,707,134,206,120,104,59,698,5,4,707,646,61
823,242,43576.08,242,9,56,44,61,24,210,16,16,228,158,54
9981,4079,73996.78,4079,320,776,417,882,154,2163,1912,4,3613,2968,645
8322,2426,84152.31,2426,112,849,708,279,147,1311,1115,0,2262,1551,711
7029,2008,105250.75,2008,55,69,80,307,669,1895,110,3,1822,1681,141
6305,2756,55874.91,2756,84,1553,213,383,108,1826,926,4,2548,1949,599
1618,554,90848.76,554,31,73,35,176,100,475,8,71,524,484,40
4194,1541,105938.93,1541,695,517,93,34,76,1445,91,5,1450,1375,75
4057,1781,79242.29,1781,1414,273,19,32,21,1544,217,20,1717,1428,289
3862,1774,44728.86,1774,1320,334,48,37,12,886,884,4,1709,770,939
4431,1645,53403.29,1645,489,726,199,164,20,1229,398,18,1609,887,722
743,315,52981.33,315,89,91,30,15,16,302,13,0,311,295,16
6693,4475,44534.33,4475,784,1150,422,453,356,168,4296,11,3943,900,3043
2512,1214,50723.31,1214,683,365,82,30,6,833,376,5,1197,756,441
2956,1091,47564.21,1091,658,185,70,26,6,982,109,0,1017,718,299
3552,935,98574.52,935,0,0,9,276,536,906,29,0,845,795,50
3589,1853,45562.63,1853,770,758,144,84,19,655,1035,163,1719,652,1067
4699,1559,81755.57,1559,828,580,23,29,23,1144,415,0,1475,1120,355
6378,2477,77393.35,2477,94,345,326,517,241,1687,679,111,2351,1894,457
4528,1778,30000,1778,297,1152,145,129,1,399,1379,0,1679,430,1249
9517,3221,100567.06,3221,8,26,15,380,870,2576,636,9,3024,2600,424
5753,1954,42563.71,1954,318,1258,154,113,26,560,1394,0,1819,422,1397
3664,1394,79576.57,1394,52,1039,215,59,0,1116,278,0,1314,854,460
2981,1590,46006.23,1590,920,277,91,128,40,59,1531,0,1479,440,1039
8,8,15550.89,8,0,0,0,0,0,6,2,0,0,0,0
1013,686,59070.14,686,328,47,97,58,72,0,681,5,645,303,342
2665,1542,35530.33,1542,633,557,130,113,37,69,1473,0,1450,298,1152
1988,882,76408.6,882,148,646,40,26,0,403,479,0,876,631,245
3818,1570,77284.52,1570,1138,247,59,32,0,1155,415,0,1453,1004,449
7541,2761,76068.99,2761,25,108,230,670,764,2289,391,81,2509,1673,836
1538,640,44131.52,640,403,196,11,3,11,395,240,5,627,261,366
2182,626,104369.77,626,10,11,0,0,50,626,0,0,603,554,49
1805,1035,45997.82,1035,708,226,49,19,13,5,1025,5,1005,198,807
5344,2180,59367.12,2180,1015,440,241,146,49,471,1709,0,2017,934,1083
3615,1341,103303.31,1341,128,428,91,75,34,1001,315,25,1279,1084,195
105,54,75625,54,9,10,0,10,18,27,27,0,55,30,25
5138,1845,87386.82,1845,276,568,377,259,110,1789,15,41,1808,1761,47
4373,1768,59406.36,1768,804,307,200,157,117,1338,417,13,1706,1330,376
6320,2136,112929.82,2136,215,876,485,303,69,1985,151,0,2001,1885,116
7723,3069,81911.4,3069,576,882,404,503,158,2328,741,0,3019,2495,524
5,1,125694.14,1,0,0,0,1,0,1,0,0,0,0,0
2245,894,51455.72,894,613,194,51,17,12,325,564,5,862,316,546
5484,2386,53675.11,2386,932,959,174,240,20,1313,1068,5,2306,916,1390
7177,3712,27670.45,3712,2059,1065,320,147,31,143,3566,3,3455,234,3221
6561,2724,74421.45,2724,623,1433,262,132,61,1624,1100,0,2559,1744,815
5640,1602,96296.07,1602,0,8,22,917,428,1574,28,0,1518,1459,59
10,3,44375,3,1,1,0,1,0,3,0,0,3,1,0
2382,1013,57259.7,1013,431,267,74,53,16,695,318,0,861,513,348
7952,3632,76270.99,3632,74,355,363,859,649,1549,2079,4,3514,2645,869
5964,2436,76465.08,2436,197,1147,592,322,75,1612,824,0,2340,1560,780
8528,2000,88637.46,2000,0,12,0,41,1483,1852,142,6,1858,1699,159
5529,2005,45825.56,2005,984,658,161,161,0,1005,937,63,1880,992,888
6077,2610,78252.37,2610,831,435,152,162,331,2261,343,6,2224,1809,415
3435,1219,114831.31,1219,186,886,64,30,15,1156,63,0,1175,1097,78
439,206,47062.43,206,58,80,20,19,3,195,11,0,200,175,25
6018,1732,81281.63,1732,422,635,190,158,83,611,1121,0,1618,954,664
6054,2191,103657.8,2191,0,235,179,950,575,1795,395,1,2140,1963,177
6008,2407,103584.47,2407,547,642,321,305,124,2199,123,85,2242,1967,273
8156,2956,78041.49,2956,440,324,301,559,153,991,1954,11,2731,1965,766
5331,2835,41326.76,2835,363,995,682,468,102,490,2345,0,2702,1133,1569
1957,986,49753.07,986,752,183,6,6,0,16,965,5,948,297,651
10172,3264,100659.43,3264,0,14,157,355,1004,2937,327,0,2974,2602,372
6166,2990,48961.49,2990,120,541,730,599,252,826,2164,0,2836,1116,1720
3380,1534,58591.66,1534,971,354,79,39,22,770,758,6,1431,798,633
6335,1998,83517.87,1998,0,15,31,1018,642,1729,269,0,1844,1557,287
4737,1760,83056.54,1760,45,1430,211,53,10,1539,221,0,1739,1564,175
3474,1657,32449.56,1657,647,410,155,194,30,123,1529,5,1546,358,1188
4770,2963,52300.3,2963,561,666,194,104,127,116,2847,0,2683,892,1791
896,498,184694.1,498,134,131,101,3,59,0,498,0,458,351,107
7472,2564,71233.34,2564,477,612,406,410,136,2192,368,4,2472,2058,414
6923,2648,83018.83,2648,110,434,563,1303,115,2038,607,3,2563,1905,658
3278,1156,119447.71,1156,607,272,47,16,23,1013,143,0,1114,847,267
5421,2482,79843.05,2482,1109,972,159,100,15,1768,687,27,2427,1656,771
5537,1940,67675.82,1940,334,579,354,233,170,1051,883,6,1827,1113,714
1116,347,39502.85,347,10,48,62,74,15,336,11,0,318,37,1
7158,2786,97479.95,2786,550,374,439,456,405,2253,529,4,2627,2102,525
2908,1166,30824.93,1166,234,622,89,38,71,28,1138,0,1090,58,1032
5913,2528,81462.65,2528,1028,828,241,204,60,2430,96,2,2475,2007,468
4168,1868,42350.44,1868,1162,468,66,106,22,1540,325,3,1804,944,860
4349,1641,87298.72,1641,447,561,132,172,127,1631,10,0,1592,1464,128
8137,3073,95957.21,3073,131,490,157,242,245,1710,1332,31,2916,2160,756
4391,1938,66332.63,1938,440,997,116,196,99,1421,512,5,1873,1331,542
3669,1666,43025.96,1666,176,1110,111,20,65,31,1635,0,1585,508,1077
3122,1393,63688.73,1393,383,692,199,51,0,910,478,5,1379,932,447
3626,1401,33645.11,1401,447,368,31,49,381,358,1043,0,1305,453,852
7365,2973,42676.81,2973,454,1568,251,195,36,1197,1776,0,2710,981,1729
6888,4299,52607.58,4299,122,128,369,1316,910,114,4185,0,3924,1650,2274
7846,2913,33455.1,2913,513,1633,212,150,54,110,2799,4,2779,554,2225
5183,2612,40873.57,2612,651,1147,313,247,68,1125,1487,0,2425,925,1500
6761,2195,123533.77,2195,95,91,34,588,808,2148,47,0,2079,1972,107
3537,1383,81727.86,1383,471,804,35,40,10,1103,280,0,1382,1096,286
4278,1374,73185.55,1374,292,507,171,196,53,720,621,33,1347,858,489
3712,1341,144762.07,1341,1099,84,94,17,12,1157,184,0,1316,1110,206
2813,1405,48880.56,1405,586,340,172,82,50,271,1113,21,1317,539,778
5134,2376,55904.38,2376,720,810,233,145,68,1314,1052,10,2375,1412,963
7142,2729,38770.45,2729,172,1512,553,173,74,352,2377,0,2534,1304,1230
8488,1811,95962.78,1811,0,2,0,27,701,1690,121,0,1682,1571,111
5801,2235,93375.88,2235,651,677,286,269,97,2115,58,62,2087,1857,230
5222,1808,113348.37,1808,536,499,327,208,87,1767,32,9,1696,1506,190
6117,2768,56184.1,2768,978,1248,242,176,46,1925,838,5,2718,1696,1022
22,2,100000,2,1,0,0,1,0,2,0,0,5,1,1
3223,1032,121667.03,1032,64,150,133,539,46,746,286,0,959,817,142
2437,1012,59020.53,1012,466,321,115,53,13,944,68,0,973,814,159
4860,2764,43746.69,2764,372,1405,436,272,45,343,2415,6,2639,1378,1261
6066,2067,123937.57,2067,0,23,22,525,689,1723,344,0,1935,1485,450
4705,2141,67028.66,2141,1061,365,104,427,116,1839,299,3,2073,1569,504
3667,1551,57293.24,1551,275,665,370,152,43,982,569,0,1490,755,735
2356,960,59745.65,960,199,685,0,32,21,613,347,0,931,570,361
5010,1647,162349.4,1647,0,12,556,715,325,1645,0,2,1598,1566,32
7752,2855,83793.73,2855,416,810,404,615,372,2280,571,4,2711,1943,768
6511,1911,87830.06,1911,32,210,1263,295,36,1242,669,0,1744,1437,307
6401,2024,78676.42,2024,2,26,183,637,354,908,1116,0,1895,1317,578
8225,2886,204896.66,2886,19,760,939,290,416,2440,400,46,2703,2092,611
3951,1484,102088.53,1484,233,221,482,226,138,1449,35,0,1443,1341,102
5157,1655,108581.11,1655,0,15,84,1386,90,1638,17,0,1530,1415,115
2707,1480,36735.07,1480,918,300,84,59,29,631,840,9,1379,365,1014
3752,2327,56961.27,2327,579,1143,320,193,32,129,2194,4,2264,815,1449
4930,1835,115731.17,1835,114,1592,66,31,9,1536,299,0,1787,1406,381
7167,2490,124171.04,2490,0,406,1441,555,3,2441,49,0,2323,2124,199
4084,1352,92257.92,1352,60,1047,165,15,30,1049,303,0,1240,1085,155
5631,2169,91673.67,2169,21,234,225,648,618,1668,487,14,2117,1672,445
4856,1747,122483.17,1747,98,1052,256,123,21,1591,147,9,1659,1492,167
4130,1581,59208.57,1581,84,762,208,148,119,861,522,198,1503,1096,407
5325,2260,98595.44,2260,224,374,455,358,327,1572,683,5,2164,1595,569
3969,1497,72223.65,1497,1179,226,31,30,3,418,1079,0,1447,676,771
7567,2683,89471.55,2683,73,365,989,646,253,2051,628,4,2581,2148,433
6651,2684,51743.95,2684,375,1571,393,212,22,1276,1408,0,2559,976,1583
4538,2086,64564.8,2086,501,862,334,138,143,1373,709,4,1936,1255,681
18213,5911,115981.49,5911,11,13,10,17,58,5734,176,1,5440,4786,654
4583,2008,58537.05,2008,343,835,232,281,166,1428,329,251,1876,1368,508
2751,1231,58961.99,1231,224,346,301,218,85,671,555,5,1197,652,545
6646,2281,124096.35,2281,233,594,313,476,161,2011,11,259,2070,1869,201
6954,3240,78138.05,3240,304,1499,1073,250,47,1160,2080,0,3212,2274,938
5693,2201,67281.11,2201,203,1213,461,78,98,1447,754,0,2133,1564,569
2771,1026,109643.29,1026,43,209,158,329,46,802,158,66,1012,811,201
4959,2062,89397.36,2062,1068,686,104,66,38,1753,309,0,1900,1552,348
9510,2610,96800.31,2610,0,19,116,505,1297,2240,370,0,2471,2163,308
10382,2717,100417.62,2717,0,15,47,873,403,2642,75,0,2514,2385,129
2826,1044,100450.35,1044,311,325,73,126,68,1026,17,1,1005,935,70
5020,2429,56926.72,2429,1454,652,124,82,30,1363,1066,0,2285,1268,1017
10356,5186,51687.65,5186,1142,1490,292,270,116,1492,3681,13,4965,2462,2503
565,275,91241.75,275,44,66,43,46,27,271,4,0,262,258,4
5633,2869,73842.27,2869,1824,497,222,195,34,1443,1426,0,2745,1292,1453
11579,2527,44460.71,2527,808,862,268,196,52,1240,1283,4,2389,1120,1269
4157,1802,42256.41,1802,576,683,211,128,47,841,961,0,1676,583,1093
3929,1482,93682.95,1482,346,439,158,101,44,1443,35,4,1425,1293,132
3535,1640,42033.6,1640,722,603,146,91,17,122,1513,5,1570,555,1015
7791,3204,95423.31,3204,115,634,503,871,464,1961,1239,4,3011,2643,368
6013,2211,43679.34,2211,407,1469,124,124,14,981,1230,0,2141,963,1178
5106,2226,51205.57,2226,455,1379,143,139,45,122,2104,0,2130,803,1327
5869,2106,104071.17,2106,1216,628,94,61,0,1601,500,5,1982,1506,476
815,382,52018.73,382,61,126,64,60,3,301,74,7,366,293,73
1483,890,60920.41,890,314,64,105,139,88,16,874,0,831,366,465
3201,1597,41504.43,1597,103,703,304,229,80,268,1324,5,1478,519,959
5835,2422,48205.72,2422,98,1468,171,277,163,932,972,518,2268,1534,734
4044,1509,101291.66,1509,0,1216,150,33,0,1469,40,0,1383,1279,104
3645,1342,103157.43,1342,10,434,689,133,0,1213,126,3,1287,1191,96
2574,836,202199.21,836,69,432,226,43,0,836,0,0,762,728,34
5500,1712,53072.21,1712,886,676,79,30,9,1016,696,0,1649,1037,612
2129,885,79930.7,885,441,329,38,39,19,719,166,0,871,663,208
6503,2723,60084.88,2723,1389,679,306,152,51,2196,523,4,2603,1754,849
6209,3206,41728.56,3206,1646,1028,195,147,43,515,2691,0,2998,559,2439
4641,1195,115036.03,1195,0,15,66,816,236,1109,86,0,1081,1005,76
6776,3153,51512.84,3153,463,638,1557,244,44,930,2219,4,3019,1474,1545
6505,2525,109015.58,2525,245,1090,116,454,301,2499,26,0,2394,2319,75
3690,1020,99086.95,1020,16,32,46,179,396,988,32,0,977,941,36
3893,1687,46199.27,1687,1013,388,131,33,22,1142,536,9,1571,801,770
4724,1668,81500.12,1668,705,270,163,203,99,680,983,5,1575,1080,495
4652,1858,85985.13,1858,264,457,270,343,151,1637,31,190,1702,1568,134
9290,3212,91677.3,3212,232,957,681,502,200,2923,221,68,3017,2398,619
6788,2166,103299.11,2166,42,41,22,1144,683,2166,0,0,2098,1881,217
2968,1262,86943.16,1262,559,367,41,118,113,955,303,4,1200,997,203
4680,1873,84749.84,1873,1159,404,181,24,4,1620,249,4,1744,1357,387
5622,2268,110269.1,2268,266,783,617,332,94,1925,338,5,2231,1978,253
3290,1253,186854.62,1253,875,84,40,130,31,790,458,5,1181,815,366
3714,1547,82219.78,1547,238,233,208,322,144,1237,304,6,1394,1028,366
6263,2613,59699.39,2613,2061,342,67,29,25,2222,386,5,2460,1913,547
5157,1812,86874.8,1812,145,1401,123,22,24,1488,324,0,1743,1411,332
3594,1534,59285.85,1534,1188,187,61,34,16,809,706,19,1428,874,554
7482,3275,77075.34,3275,116,814,576,344,387,2149,1106,20,3119,2015,1104
5684,2174,35973.89,2174,519,1098,204,93,40,1064,1107,3,2048,924,1124
6986,2807,86129.92,2807,377,1149,228,143,277,2342,461,4,2700,2254,446
3483,1496,55070.1,1496,663,589,131,65,10,697,799,0,1398,504,894
2589,1120,72927.33,1120,305,334,231,126,35,662,453,5,1077,658,419
6493,2275,128775.04,2275,0,0,0,231,566,2173,102,0,2098,1921,177
6791,3123,47081.36,3123,1853,844,224,126,16,1904,1204,15,3080,1642,1438
5087,3020,95021.76,3020,1058,169,160,433,451,26,2994,0,2824,1463,1361
5590,2128,115338.42,2128,312,605,359,342,151,1691,437,0,1991,1495,496
1221,523,63075.32,523,90,165,85,83,24,502,5,16,508,474,34
8435,3490,78786.2,3490,304,267,105,836,811,3368,119,3,3230,3106,124
4118,1548,102317.12,1548,328,539,156,239,94,1307,37,204,1488,1329,159
6396,2405,96165.08,2405,48,656,744,760,135,1843,562,0,2320,1826,494
6496,3633,46996.04,3633,563,1440,441,296,318,499,3131,3,3153,954,2199
26305,6151,101756.62,6151,31,30,23,30,93,6042,109,0,5500,5128,372
5054,2028,91583.79,2028,13,0,0,533,847,1169,859,0,1871,1413,458
3052,1343,31173.95,1343,417,309,124,250,142,394,949,0,1250,540,710
4745,2255,57587.68,2255,1551,360,56,58,13,1207,1048,0,2118,1034,1084
3509,1380,83870.63,1380,65,988,187,59,22,1303,77,0,1327,923,404
3151,989,81471.6,989,694,241,26,14,0,754,235,0,957,806,151
10818,4095,94878.8,4095,27,283,254,99,533,1824,2270,1,3816,3221,595
4127,1488,76450.17,1488,173,494,250,478,42,1396,88,4,1441,1325,116
5348,1534,101802.89,1534,0,0,0,14,590,1523,11,0,1469,1374,95
9367,2739,83015.02,2739,26,111,26,94,180,1530,1168,41,2443,1891,552
4894,2094,59144.81,2094,828,683,143,116,29,1573,516,5,1992,1296,696
4094,1774,47774.63,1774,80,131,56,355,262,173,1597,4,1539,984,555
8090,2714,100597.51,2714,2,48,233,845,977,2154,560,0,2471,2108,363
6063,2040,79750.66,2040,19,10,3,149,467,1310,730,0,1872,1521,351
2081,909,78244.16,909,377,356,96,52,10,770,78,61,877,718,159
5868,2954,56816.85,2954,1826,698,236,109,27,1076,1875,3,2867,1286,1581
5279,2164,83354.2,2164,655,1339,44,54,36,1854,310,0,2117,1651,466
7438,2997,78104.81,2997,185,1160,581,361,121,2263,478,256,2886,2496,390
5008,2319,68265.58,2319,607,819,179,175,53,1146,1168,5,2247,1286,961
5933,2471,86815.73,2471,267,1334,378,231,60,1258,1172,41,2368,1560,808
8286,3251,99801.36,3251,67,1361,428,534,347,2726,429,96,3134,2665,469
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5638,2075,87069.76,2075,47,956,160,454,157,1572,503,0,1992,1346,646
3163,1268,68273.67,1268,73,46,7,30,163,734,534,0,1126,523,603
5533,2396,37494.12,2396,1111,905,127,80,21,117,2218,61,2275,653,1622
1806,768,71736.03,768,192,432,91,26,10,546,222,0,720,487,233
7175,2352,88962.55,2352,115,183,616,796,187,1897,444,11,2187,1773,414
3458,1219,78742.39,1219,172,351,561,107,0,1064,150,5,1170,1000,170
2878,1392,60782.85,1392,1084,114,33,55,22,1028,359,5,1299,897,402
5450,1845,110911.01,1845,184,568,553,237,117,1777,61,7,1728,1654,74
973,505,27848.8,505,370,74,15,21,0,21,479,5,486,33,453
3690,1185,111429.22,1185,170,651,130,97,28,874,308,3,1159,977,182
4526,1566,72403.19,1566,190,827,184,143,38,1084,478,4,1518,946,572
4678,1735,82815.94,1735,13,108,183,1035,166,1222,513,0,1651,1385,266
4111,1693,74049.45,1693,163,342,331,356,83,1143,542,8,1492,1101,391
1125,511,65939.06,511,341,136,10,16,0,409,97,5,485,380,105
3200,1692,37503.52,1692,734,410,195,138,44,447,1240,5,1611,571,1040
5400,1895,134711.28,1895,221,349,461,693,111,1726,169,0,1797,1563,234
6353,2625,100976.47,2625,417,816,487,410,105,1925,696,4,2507,1741,766
3950,1614,77491.08,1614,494,342,204,141,136,1450,137,27,1563,1314,249
4695,1648,100818.86,1648,102,1407,67,22,0,1400,248,0,1514,1279,235
5450,2019,41629.71,2019,868,748,180,144,38,615,1404,0,1961,748,1213
6054,2419,32179.52,2419,817,1148,243,126,20,579,1840,0,2273,604,1669
6938,2705,102634.02,2705,329,831,332,507,276,2155,550,0,2629,2149,480
3374,1255,113077.56,1255,11,694,482,33,10,1048,207,0,1245,1180,65
14084,5125,86994.82,5125,3,8,8,44,942,4258,867,0,4633,4045,588
1886,843,43306.49,843,398,166,198,55,24,248,590,5,811,266,545
5525,2329,58826.35,2329,1568,421,116,40,77,938,1382,9,2245,1350,895
4722,2110,58150.8,2110,1769,278,27,4,0,1957,149,4,2051,1625,426
5886,1947,74195.29,1947,59,907,574,132,12,986,961,0,1804,1254,550
6879,2370,104828.88,2370,25,156,1100,697,88,2332,38,0,2266,2083,183
1259,535,80275.29,535,347,81,13,44,12,463,67,5,513,459,54
5347,1651,103286.18,1651,0,5,5,83,1055,1617,28,6,1541,1433,108
3095,1406,60206.46,1406,1116,151,17,23,0,1273,119,14,1311,1078,233
5067,3110,54897.8,3110,437,1337,500,442,83,180,2930,0,2739,835,1904
3700,1726,51820.47,1726,1047,404,84,61,18,789,921,16,1610,845,765
10969,3087,91800.59,3087,34,12,9,82,1106,2853,234,0,2848,2535,313
4705,1530,102365.86,1530,18,319,408,243,279,1071,459,0,1451,1213,238
5570,2064,106121.71,2064,36,1585,165,90,10,1941,123,0,2054,1769,285
6469,2699,96843.86,2699,1670,654,61,20,17,1136,1558,5,2527,1891,636
4296,1547,77608.16,1547,30,780,547,86,18,1224,323,0,1426,850,576
3998,1856,54544.39,1856,929,459,210,108,31,693,1159,4,1768,802,966
3670,1120,131192.57,1120,0,0,55,808,174,1109,11,0,1078,1026,52
4945,2199,73071.74,2199,593,1108,204,141,50,1741,453,5,2176,1647,529
16,9,64375,9,1,6,1,0,0,9,0,0,8,4,4
2503,947,101811.06,947,65,525,74,100,56,754,92,101,909,834,75
3706,1430,76792.86,1430,49,1047,131,75,86,989,441,0,1381,940,441
5071,1857,49731.23,1857,792,573,122,86,48,1126,728,3,1725,1012,713
4684,2510,40028.73,2510,760,1065,163,211,55,922,1571,17,2496,1011,1485
4869,3128,53451.87,3128,1021,1465,183,191,43,58,3066,4,2953,722,2231
3363,1559,87214.88,1559,47,627,326,277,42,1147,408,4,1494,1077,417
4319,1372,71731.35,1372,146,161,239,382,132,359,1007,6,1292,823,469
1347,591,60396.41,591,100,383,46,45,11,459,132,0,584,429,155
3977,1633,45728.19,1633,451,666,237,30,110,365,1268,0,1570,800,770
6811,2711,103536.27,2711,1339,840,136,108,75,1656,1049,6,2566,1568,998
6349,1734,84585.55,1734,56,677,390,231,138,869,865,0,1598,1109,489
4631,2339,63342.5,2339,47,383,274,1108,194,368,1970,1,2217,1373,844
1233,538,39750.2,538,82,165,77,147,10,482,0,56,542,488,54
1776,827,64038.01,827,286,214,100,65,24,691,123,13,813,611,202
4533,1625,59057,1625,380,445,208,262,144,367,1258,0,1535,865,670
4952,1430,79338.48,1430,46,576,650,93,18,1041,389,0,1341,1158,183
5012,2132,58147.77,2132,1172,352,157,280,45,1126,1002,4,2037,1208,829
2912,1148,42014.56,1148,542,438,35,56,46,332,816,0,1088,477,611
3761,1892,52078.83,1892,574,985,70,193,45,58,1820,14,1809,755,1054
4779,2143,51826.22,2143,780,653,211,261,76,839,1300,4,2065,1020,1045
4287,1540,78354.37,1540,347,508,181,139,95,414,1115,11,1413,874,539
6865,2921,25761.34,2921,122,915,354,108,197,75,2841,5,2493,712,1781
4556,1532,130801.41,1532,0,20,83,669,405,1532,0,0,1459,1414,45
4033,1594,91386.79,1594,1070,345,47,22,7,1275,319,0,1494,957,537
1888,884,81703.52,884,17,149,26,33,125,456,428,0,786,261,525
7498,2368,75605.82,2368,9,91,393,1103,336,1563,805,0,2176,1423,753
4173,1915,40504.7,1915,848,795,102,60,0,0,1895,20,1808,412,1396
3229,1491,55580.38,1491,0,19,91,796,154,513,978,0,1122,938,184
3165,1029,333387.12,1029,943,48,3,10,10,966,59,4,1001,898,103
7127,4041,32811.74,4041,475,1637,816,691,220,574,3466,1,3726,424,3302
6857,2936,85643.65,2936,379,2317,91,30,0,1285,1646,5,2725,2235,490
1743,768,72313.39,768,250,227,109,60,40,691,72,5,730,525,205
6403,2521,73250.6,2521,259,463,704,695,135,2055,424,42,2446,1943,503
116,45,83632.81,45,1,10,9,12,4,32,5,8,0,0,0
7315,2364,138111.4,2364,14,21,23,448,933,2153,211,0,2178,2021,157
5080,1988,42065.9,1988,870,754,109,175,32,1072,911,5,1927,1048,879
3366,1466,147070.5,1466,497,264,76,176,169,598,868,0,1362,961,401
4947,2171,45186.56,2171,714,1094,194,86,24,194,1977,0,2078,804,1274
3572,1445,53843.87,1445,104,1021,90,106,28,957,488,0,1336,825,511
6448,2653,37230.33,2653,1525,661,164,54,140,1009,1629,15,2475,1230,1245
5965,2392,122008.45,2392,1800,239,57,94,20,1544,848,0,2250,1540,710
5200,2470,60415.24,2470,304,1114,450,180,76,698,1768,4,2337,1268,1069
3573,1335,83416.54,1335,103,623,216,215,42,1181,148,6,1244,1049,195
1892,857,77836.12,857,214,302,111,107,26,720,39,98,794,714,80
9034,3909,74977.96,3909,198,1262,460,585,478,2584,1166,159,3635,2288,1347
6848,2887,42593.7,2887,1601,1032,101,63,0,1797,1086,4,2718,1149,1569
6569,2884,56868.78,2884,735,768,265,353,183,2135,618,131,2781,2053,728
5543,1911,103213.81,1911,11,583,1152,99,0,1867,44,0,1785,1465,320
5251,2438,46068.24,2438,116,502,979,513,209,742,1691,5,2357,1106,1251
5560,1866,66183.53,1866,84,792,609,282,34,1529,337,0,1804,1250,554
7249,3074,75606.2,3074,383,1091,460,549,167,2658,121,295,2990,2555,435
5654,2007,68564.66,2007,76,1432,186,66,174,945,1062,0,1887,1666,221
943,356,109842.49,356,163,78,50,13,18,351,5,0,361,328,33
7199,2803,135356.26,2803,382,1095,764,264,134,1782,1021,0,2669,2427,242
173,60,70000,60,0,10,35,9,0,54,6,0,51,51,0
2122,1052,49886.89,1052,417,443,38,100,0,471,578,3,1040,455,585
3412,1443,76213.04,1443,31,1051,253,47,11,1239,200,4,1343,971,372
2937,974,73186.76,974,66,454,65,76,61,754,220,0,929,727,202
4006,1325,113059.85,1325,0,72,167,625,279,1163,162,0,1274,1105,169
2924,1131,70539.76,1131,141,441,291,162,36,988,143,0,1061,639,422
10947,4286,77053.21,4286,84,449,1193,1230,570,2793,1488,5,3963,2630,1333
1676,1024,38754.23,1024,610,215,97,74,3,30,989,5,1017,214,803
7632,2745,82917.03,2745,409,715,314,417,170,2513,18,214,2550,2183,367
3376,1288,106095.86,1288,606,144,102,154,60,725,563,0,1163,721,442
6169,2088,67548.66,2088,42,1281,429,175,10,1465,623,0,2005,1050,955
7307,3849,55621.47,3849,1178,1371,425,294,130,1342,2504,3,3502,1485,2017
1099,423,143578.95,423,137,41,80,83,17,417,6,0,348,324,24
3066,1644,50551.24,1644,241,786,286,156,62,402,1236,6,1592,581,1011
5891,2043,92191.06,2043,18,670,245,352,386,1761,276,6,1947,1663,284
4166,2527,50881.65,2527,1165,663,197,223,93,604,1893,30,2291,661,1630
6005,1893,33421.18,1893,438,1077,212,97,16,1142,751,0,1784,557,1227
4917,2443,41426.38,2443,505,1601,263,35,0,204,2239,0,2361,601,1760
1904,811,96721,811,662,103,11,7,7,725,86,0,807,683,124
8274,3160,103626.01,3160,0,0,42,648,785,1741,1419,0,2931,2542,389
3474,1476,72311.62,1476,516,616,155,88,21,1123,348,5,1385,908,477
7931,2436,114256.44,2436,9,10,0,57,1425,2436,0,0,2216,2013,203
4208,1890,54743.34,1890,489,410,178,84,22,887,926,77,1724,615,1109
4940,1882,93311.86,1882,284,743,303,168,91,1858,18,6,1782,1641,141
7552,2966,54550.22,2966,112,2022,423,148,70,1564,1402,0,2752,1618,1134
5223,2516,56297.8,2516,427,1229,352,296,27,1134,1377,5,2454,1302,1152
2248,903,81741.34,903,679,174,21,0,0,853,50,0,878,614,264
4644,2198,56868.66,2198,1175,692,118,116,38,1321,873,4,2131,1245,886
4945,1717,104325.53,1717,97,286,496,548,87,1314,403,0,1615,1420,195
8161,2912,101038.23,2912,323,439,168,150,57,2441,464,7,2689,2225,464
3864,1342,86413.44,1342,18,932,155,147,22,1304,38,0,1243,1046,197
4057,1523,63619.43,1523,159,1016,209,29,42,497,1020,6,1449,1004,445
2365,1204,47478.64,1204,786,183,115,38,46,5,1194,5,1126,331,795
3559,1539,67055.39,1539,609,507,121,89,16,858,681,0,1427,748,679
7904,2390,74464.11,2390,28,187,541,998,356,693,1697,0,2364,1405,959
8098,2945,89732.54,2945,807,1100,459,203,78,1550,1391,4,2804,1777,1027
2162,1365,29478.56,1365,674,418,138,104,9,267,1088,10,1337,329,1008
5571,2029,106079.96,2029,0,0,3,131,970,1796,233,0,1877,1641,236
5372,2124,56521.76,2124,90,743,623,217,76,1420,693,11,2041,1417,624
